"acc_id","acc_code","acc_name","bldg_status","gender","tot_capacity","no_of_rooms","occupied_rooms","available_rooms","warden_emp_code","owner","remark"
"1","ACC001","Madhuban","Active","Female","264","48","43","5","EMP001","SELF","Mixed Staff across Depts.(6)"
"2","ACC002","Miramar","Active","Female","56","4","0","4","EMP001","SELF","Gaming-DJ"
"3","ACC003","Taleigao","Active","Male","60","12","10","2","EMP001","SELF","F & B Prod ( DR ), F & B SERV ( DR / KC)"
"4","ACC004","Succor","Active","Female","90","36","8","28","EMP001","SELF","Gaming DR / DC"
"5","ACC005","Porvorim - Boys 1 ( Pandurang Walwaikar)","Active","Male","33","3","1","2","EMP001","SELF","F & B SERV ( DJ ), CASHDESK"
"6","ACC006","Rosa Maria(Campal) - Chef's","Active","Male","18","1","0","1","EMP001","SELF","F & B Prod ( DJ )"
"7","ACC007","Green Lake View","Active","Male","48","16","14","2","EMP001","SELF","F & B Prod ( DR ), F & B Prod ( DC ),F & B Prod ( CK),"
"8","ACC008","Reis Magoos Near Masjid","Active","Male","54","7","6","1","EMP001","SELF","Gaming DR / Gaming DJ"
"9","ACC009","Evolution","Active","Male","84","14","10","4","EMP001","SELF","Gaming DR / SECURITY / ADM /IT / HK /FO/Transport"
"10","ACC010","OM SAI","Active","Female","68","16","2","14","EMP001","SELF","Gaming/CASHDESK/F &B /FO/HK"
"11","ACC011","Corlim Acco ( Dhawal Enclave )","Active","Male","78","14","0","14","EMP001","SELF","F & B ( IHM & GOA Staff)"
"12","ACC012","Zuri - 1 (Opp Church )","Active","Male","6","1","1","0","EMP001","SELF","Gaming Zuri,"
"13","ACC013","Zuri - 2 ( Besides Church )","Active","Male","6","1","1","0","EMP001","SELF","Gaming Zuri,"
